324,Babura,13
325,Birni Kudu,13
326,Biriniwa,13
327,Buji,13
328,Dutse,13
329,Gagarawa,13
330,Garki,13
331,Gumel,13
332,Guri,13
333,Gwaram,13
334,Gwiwa,13
335,Hadejia,13
336,Jahun,13
337,Kafin Hausa,13
338,Kaugama Kazaure,13
339,Kiri Kasamma,13
340,Kiyawa,13
341,Maigatari,13
342,Malam Madori,13
343,Miga,13
344,Ringim,13
345,Roni,13
346,Sule-Tankarkar,13
347,Taura,13
348,Yankwashi ,13
349,Aboh-Mbaise,14
350,Ahiazu-Mbaise,14
351,Ehime-Mbano,14
352,Ezinihitte,14
353,Ideato North,14
354,Ideato South,14
355,Ihitte/Uboma,14
356,Ikeduru,14
357,Isiala Mbano,14
358,Isu,14
359,Mbaitoli,14
360,Mbaitoli,14
361,Ngor-Okpala,14
362,Njaba,14
363,Nwangele,14
364,Nkwerre,14
365,Obowo,14
366,Oguta,14
367,Ohaji/Egbema,14
368,Okigwe,14
369,Orlu,14
370,Orsu,14
371,Oru East,14
372,Oru West,14
373,Owerri-Municipal,14
374,Owerri North,14
375,Owerri West ,14
376,Akko,15
377,Balanga,15
378,Billiri,15
379,Dukku,15
380,Kaltungo,15
381,Kwami,15
382,Shomgom,15
383,Funakaye,15
384,Gombe,15
385,Nafada/Bajoga,15
386,Yamaltu/Delta,15
387,Enugu South,,16
388,Igbo-Eze South,16
389,Enugu North,16
390,Nkanu,16
391,Udi Agwu,16
392,Oji-River,16
393,Ezeagu,16
394,IgboEze North,16
395,Isi-Uzo,16
396,Nsukka,16
397,Igbo-Ekiti,16
398,Uzo-Uwani,16
399,Enugu East,16
400,Aninri,16
401,Nkanu East,16
402,Udenu,16
403,Ado,17
404,Ekiti-East,17
405,Ekiti-West,17
406,Emure/Ise/Orun,17
407,Ekiti South-West,17
408,Ikare,17
409,Irepodun,17
410,Ijero,17
411,Ido/Osi,17
412,Oye,17
413,Ikole,17
414,Moba,17
415,Gbonyin,17
416,Efon,17
417,Ise/Orun,17
418,Ilejemeje,17
435,Esan North-East,19
436,Esan Central,19
437,Esan West,19
438,Egor,19
439,Ukpoba,19
440,Central,19
441,Etsako Central,19
442,Igueben,19
443,Oredo,19
444,Ovia SouthWest,19
445,Ovia South-East,19
446,Orhionwon,19
447,Uhunmwonde,19
448,Etsako East,19
449,Esan South-East ,19
465,Afikpo South,18
466,Afikpo North,18
467,Onicha,18
468,Ohaozara,18
469,Abakaliki,18
470,Ishielu,18
471,lkwo,18
472,Ezza,18
473,Ezza South,18
474,Ohaukwu,18
475,Ebonyi,18
476,Ivo ,18
477,Oshimili,20
478,Aniocha,20
479,Aniocha South,20
480,Ika South,20
481,Ika North-East,20
482,Ndokwa West,20
483,Ndokwa East,20
484,Isoko south,20
485,Isoko North,20
486,Bomadi,20
487,Burutu,20
488,Ughelli South,20
489,Ughelli North,20
490,Ethiope West,20
491,Ethiope East,20
492,Sapele,20
493,Okpe,20
494,Warri North,20
495,Warri South,20
496,Uvwie,20
497,Udu,20
498,Warri Central,20
499,Ukwani,20
500,Oshimili North,20
501,Patani,20
502,Akpabuyo,21
503,Odukpani,21
504,Akamkpa,21
505,Biase,21
506,Abi,21
507,Ikom,21
508,Yarkur,21
509,Odubra,21
510,Boki,21
511,Ogoja,21
512,Yala,21
513,Obanliku,21
514,Obudu,21
515,Calabar South,21
516,Etung,21
517,Bekwara,21
518,Bakassi,21
519,Calabar Municipality,21
520,Abadam,22
521,Askira/Uba,22
522,Bama,22
523,Bayo,22
524,Biu,22
525,Chibok,22
526,Damboa,22
527,Dikwa,22
528,Gubio,22
529,Guzamala,22
530,Gwoza,22
531,Hawul,22
532,Jere,22
533,Kaga,22
534,Kala/Balge,22
535,Konduga,22
536,Kukawa,22
537,Kwaya Kusar,22
538,Mafa,22
539,Magumeri,22
540,Maiduguri,22
541,Marte,22
542,Mobbar,22
543,Monguno,22
544,Ngala,22
545,Nganzai,22
546,Shani ,22
547,Ado,23
548,Agatu,23
549,Apa,23
550,Buruku,23
551,Gboko,23
552,Guma,23
553,Gwer East,23
554,Gwer West,23
555,Katsina-Ala,23
556,Konshisha,23
557,Kwande,23
558,Logo,23
559,Makurdi,23
560,Obi,23
561,Ogbadibo,23
562,Oju,23
563,Okpokwu,23
564,Ohimini,23
565,Oturkpo,23
566,Tarka,23
567,Ukum,23
568,Ushongo,23
569,Vandeikya ,23
570,Brass,24
571,Ekeremor,24
572,Kolokuma/Opokuma,24
573,Nembe,24
574,Ogbia,24
575,Sagbama,24
576,Southern Jaw,24
577,Yenegoa ,24
578,Alkaleri,25
579,Bauchi,25
580,Bogoro,25
581,Damban,25
582,Darazo,25
583,Dass,25
584,Ganjuwa,25
585,Giade,25
586,Itas/Gadau,25
587,Jama are,25
588,Katagum,25
589,Kirfi,25
590,Misau,25
591,Ningi,25
592,Shira,25
593,Tafawa-Balewa,25
594,Toro,25
595,Warji,25
596,Zaki ,25
597,Aguata,26
598,Anambra East,26
599,Anambra West,26
600,Anaocha,26
601,Awka North,26
602,Awka South,26
603,Ayamelum,26
